Summary,Link
Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (July 2024) [PDF 98KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240628c.pdf
Timetable and Schedule of U.S. Dollar Funds-Supplying Operations (July-September 2024) [PDF 55KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240628b.pdf
Schedules of Outright Purchases of CP and Corporate Bonds (July-August 2024) [PDF 48KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240628a.pdf
"Holding the ""Bond Market Group"" Meetings [PDF 196KB]",https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240614a.pdf
Statement on Monetary Policy [PDF 442KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/k240614a.pdf
Relaxation of the Terms and Conditions for the Securities Lending Facility for the Cheapest-to-Deliver Issues [PDF 116KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240531d.pdf
Quarterly Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (April-June 2024) (Revised) [PDF 102KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240531c.pdf
Timetable and Schedule of U.S. Dollar Funds-Supplying Operations (June-August 2024) [PDF 55KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240531b.pdf
Schedules of Outright Purchases of CP and Corporate Bonds (June-July 2024) [PDF 48KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240531a.pdf
Quarterly Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (April-June 2024) (Revised) [PDF 102KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240430c.pdf
Timetable and Schedule of U.S. Dollar Funds-Supplying Operations (May-July 2024) [PDF 55KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240430b.pdf
Schedules of Outright Purchases of CP and Corporate Bonds (May-June 2024) [PDF 48KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240430a.pdf
"Amendment to ""Principal Terms and Conditions for the Funds-Supplying Operation to Support Financial Institutions in Disaster Areas"" [PDF 91KB]",https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240426a.pdf
Statement on Monetary Policy [PDF 368KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/k240426a.pdf
Timetable and Schedule of U.S. Dollar Funds-Supplying Operations (April-June 2024) [PDF 55KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240329b.pdf
Schedules of Outright Purchases of CP and Corporate Bonds (April-May 2024) [PDF 48KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240329a.pdf
"Amendment to ""Principal Terms and Conditions of ComplementaryDeposit Facility"" [PDF 108KB]",https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240319d.pdf
Outline of Outright Purchases of Japanese Government Securities [PDF 256KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240319c.pdf
Quarterly Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (April-June 2024) [PDF 100KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240319b.pdf
Market Operation Measures following the Monetary Policy Decision Today [PDF 374KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240319a.pdf
(Reference) Changes in the Monetary Policy Framework [PDF 437KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/k240319b.pdf
Changes in the Monetary Policy Framework [PDF 464KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/k240319a.pdf
Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan [PDF 185KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240311a.pdf
Relaxation of the Terms and Conditions for the Securities Lending Facility for the Cheapest-to-Deliver Issues [PDF 117KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240229e.pdf
Maximum Amounts Outstanding of a Single Issuer's Corporate Bonds to Be Purchased [PDF 194KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240229d.pdf
Quarterly Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (January-March 2024) (Revised) [PDF 102KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240229c.pdf
Timetable and Schedule of U.S. Dollar Funds-Supplying Operations (March-May 2024) [PDF 55KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240229b.pdf
Schedules of Outright Purchases of CP and Corporate Bonds (March-April 2024) [PDF 49KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240229a.pdf
Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan [PDF 185KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240208a.pdf
Quarterly Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (January-March 2024) (Revised) [PDF 102KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240130c.pdf
Timetable and Schedule of U.S. Dollar Funds-Supplying Operations (February-April 2024) [PDF 55KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240130b.pdf
Schedules of Outright Purchases of CP and Corporate Bonds (February-March 2024) [PDF 49KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240130a.pdf
Loan Disbursement under the Funds-Supplying Operations to Support Financing for Climate Change Responses [PDF 8KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240129a.pdf
"Amendment to ""Principal Terms and Conditions for the Loan Support Program"" [PDF 28KB]",https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240123a.pdf
Statement on Monetary Policy [PDF 373KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/k240123a.pdf
Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan [PDF 185KB],https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2024/mpr240110a.pdf
