Headings,Link,text_data,dates,Summary,Gist
"RBI imposes monetary penalty on The Hindusthan Co-operative Bank Limited, Mumbai, Maharashtra",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58417," The Reserve Bank of India (RBI) has, by an order dated July 24, 2024, imposed a monetary penalty of ₹4.00 lakh (Rupees Four lakh only) on The Hindusthan Co-operative Bank Limited, Mumbai, for non-compliance with certain directions issued by RBI on ‘Exposure Norms and Statutory / Other Restrictions - UCBs’, ‘Limits on exposure to single and group borrowers/parties and large exposures -UCBs’ and ‘Know Your Customer (KYC) Norms’. This penalty has been imposed in exercise of powers vested in RBI, conferred under section 47A(1)(c) read with sections 46(4)(i) and 56 of the Banking Regulation Act, 1949. The statutory inspection of the bank was conducted by RBI with reference to its financial position as on March 31, 2023. Based on supervisory findings of non-compliance with RBI directions and related correspondence in that regard, a notice was issued to the bank advising it to show cause as to why penalty should not be imposed on it for its failure to comply with the said directions. After considering the bank’s reply to the notice, RBI found, inter alia, that the following charges against the bank were sustained, warranting imposition of monetary penalty. The bank had (i) sanctioned loans to nominal members in excess of the prescribed regulatory limit (ii) failed to adhere to single borrower exposure limit; and (iii) allotted multiple Unique Customer Identification Codes to its customers. This action is based on the deficiencies in regulatory compliance and is not intended to pronounce upon the validity of any transaction or agreement entered into by the bank with its customers. Further, imposition of monetary penalty is without prejudice to any other action that may be initiated by RBI against the bank.(Puneet Pancholy)      Chief General ManagerPress Release: 2024-2025/820",01/08/2024,"The Reserve Bank of India (RBI) has fined The Hindusthan Co-operative Bank Limited, Mumbai, a sum of ₹4 lakh for violating RBI's directions on exposure norms, limits on exposure to single and group borrowers/parties, and KYC norms. The penalty was imposed following a supervisory inspection and a notice advising the bank to explain why a penalty should not be imposed. The bank was found to have exceeded regulatory limits on loans to nominal members, failed to adhere to single borrower exposure limits, and allotted multiple Unique Customer Identification Codes to customers. The action is not intended to question the validity of any transactions or agreements entered into by the bank with its customers, and the penalty is not a prelude to any other action that RBI may take against the bank.","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
"RBI imposes monetary penalty on Alibag Co-operative Urban Bank Limited, Alibag, Maharashtra",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58416,"The Reserve Bank of India (RBI) has, by an order dated July 24, 2024, imposed a monetary penalty of ₹2.00 lakh (Rupees Two lakh only) on Alibag Co-operative Urban Bank Limited, Alibag for non-compliance with certain directions issued by RBI on ‘Management of Advances-UCBs’. This penalty has been imposed in exercise of powers vested in RBI, conferred under section 47A(1)(c) read with sections 46(4)(i) and 56 of the BR Act.The statutory inspection of the bank was conducted by RBI with reference to its financial position as on March 31, 2023. Based on supervisory findings of non-compliance with RBI directions and related correspondence in that regard, a notice was issued to the bank advising it to show cause as to why penalty should not be imposed on it for its failure to comply with the said directions. After considering the bank’s reply to the notice, and oral submissions made during the personal hearing, RBI found, inter alia, that the charge of sanctioning gold loans beyond prescribed regulatory limit under bullet repayment scheme was sustained, warranting imposition of monetary penalty.This action is based on the deficiencies in regulatory compliance and is not intended to pronounce upon the validity of any transaction or agreement entered into by the bank with its customers. Further, imposition of monetary penalty is without prejudice to any other action that may be initiated by RBI against the bank.(Puneet Pancholy)        Chief General ManagerPress Release: 2024-2025/819",01/08/2024,The Reserve Bank of India (RBI) has fined Alibag Co-operative Urban Bank Limited for not following certain directions related to managing loans. The penalty of ₹2.00 lakh was imposed after a supervisory inspection revealed non-compliance with RBI's directions on 'Management of Advances-UCBs'. The penalty is not related to the validity of any transactions or agreements entered into by the bank with its customers and does not preclude any other action that RBI may take against the bank.,"The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
"RBI imposes monetary penalty on Shrikrishna Co-operative Bank Limited, Umrer, Maharashtra",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58415,"The Reserve Bank of India (RBl) has, by an order dated July 26, 2024, imposed a monetary penalty of ₹2.08 lakh (Rupees Two Lakh and Eight thousand only) on Shrikrishna Co-operative Bank Limited, Umrer, Maharashtra (the bank), for non-compliance with certain directions issued by RBI on ‘Loans and advances to directors, their relatives, and firms /concerns in which they are interested’. This penalty has been imposed in exercise of powers conferred on RBI under provisions of section 47A(1)(c) read with sections 46(4)(i) and 56 of the Banking Regulation Act, 1949.The statutory inspection of the bank was conducted by RBI with reference to its financial position as on March 31, 2023. Based on supervisory findings of non-compliance with RBI directions and related correspondence in that regard, a notice was issued to the bank advising it to show cause as to why penalty should not be imposed on it for its failure to comply with the said directions. After considering the bank's reply to the notice and oral submissions made during the personal hearing, RBI found, inter alia, that the charge of sanctioning director related loans (fund and non-fund based) to companies / concerns, where the directors or their relatives were interested, was sustained, warranting imposition of monetary penalty. This action is based on deficiencies in regulatory compliance and is not intended to pronounce upon the validity of any transaction or agreement entered into by the bank with its customers. Further, imposition of this monetary penalty is without prejudice to any other action that may be initiated by RBI against the bank.(Puneet Pancholy)      Chief General ManagerPress Release: 2024-2025/818",01/08/2024,"The Reserve Bank of India (RBI) has fined Shrikrishna Co-operative Bank Limited for failing to adhere to RBI's directions on lending to directors, their relatives, and related entities. The bank was found to have violated these rules by sanctioning loans to companies where directors or their relatives had an interest. The penalty of INR 2.08 lakh ($2,700) was imposed under the Banking Regulation Act, 1949. The RBI's inspection of the bank's financial position as of March 31, 2023, revealed these non-compliances, and the bank was given the opportunity to respond. The RBI's action is not a judgment on the validity of any specific transaction or agreement between the bank and its customers. This penalty is not intended to preclude any further action that the RBI may take against the bank.","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
"RBI imposes monetary penalty on Nagnath Urban Co-operative Bank Limited, Hingoli, Maharashtra",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58414,"The Reserve Bank of India (RBl) has by an order dated July 26, 2024, imposed a monetary penalty of ₹1.00 lakh (Rupees One Lakh only) on Nagnath Urban Co-operative Bank Limited, Hingoli, Maharashtra (the bank), for contravention of the provisions of section 26A read with section 56 of the Banking Regulation Act, 1949 (BR Act). This penalty has been imposed in exercise of powers vested in RBI, conferred under section 47A(1)(c) read with section 46(4)(i) and section 56 of the BR Act.The statutory inspection of the bank was conducted by RBI with reference to its financial position as on March 31, 2023. Based on supervisory findings of non-compliance with statutory provision and related correspondence in that regard, a notice was issued to the bank advising it to show cause as to why penalty should not be imposed on it for its failure to comply with the said provision of the BR Act. After considering the bank's reply to the notice and oral submissions made by it during the personal hearing, RBI found, inter alia, that the charge of not transferring the eligible amount to the Depositor Education and Awareness Fund within prescribed time period was sustained, warranting imposition of monetary penalty.This action is based on deficiencies in regulatory compliance and is not intended to pronounce upon the validity of any transaction or agreement entered into by the bank with its customers. Further, imposition of this monetary penalty is without prejudice to any other action that may be initiated by RBI against the bank.(Puneet Pancholy)          Chief General ManagerPress Release: 2024-2025/817",01/08/2024,"The Reserve Bank of India (RBI) has fined Nagnath Urban Co-operative Bank Limited in Hingoli, Maharashtra, a sum of ₹1 lakh for failing to transfer eligible funds to the Depositor Education and Awareness Fund within the stipulated timeframe, in violation of the Banking Regulation Act, 1949. The penalty was imposed after a statutory inspection revealed non-compliance with the relevant provisions, and the bank was given an opportunity to respond to a show-cause notice. The action is not intended to challenge the validity of any transactions or agreements entered into by the bank with its customers, and it does not preclude the possibility of further action being taken by the RBI against the bank.","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
"RBI to conduct 7-day Variable Rate Reverse Repo (VRRR) auction under LAF on August 02, 2024",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58413,"On a review of the current and evolving liquidity conditions, it has been decided to conduct a Variable Rate Reverse Repo (VRRR) auction on August 02, 2024, Friday, as under:2. The operational guidelines for the auction as given in the Reserve Bank’s Press Release 2019-2020/1947 dated February 13, 2020 will remain the same.Ajit Prasad                  Deputy General Manager        (Communications)    Press Release: 2024-2025/816",01/08/2024,"The Reserve Bank of India (RBI) has announced that it will conduct a Variable Rate Reverse Repo (VRRR) auction on August 2, 2024. The operational guidelines for the auction will remain the same as those outlined in a previous press release from February 2020. No further details were provided in the announcement.","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
"RBI imposes monetary penalty on Urban Co-operative Bank Ltd., Mainpuri, Uttar Pradesh",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58412,"The Reserve Bank of India (RBI) has, by an order dated July 30, 2024 imposed a monetary penalty of ₹5.00 Lakh (Rupees Five Lakh only) on Urban Co-operative Bank Ltd., Mainpuri (the bank) for non-compliance with certain directions issued by RBI on ‘Investments by Primary (Urban) Co-operative Banks’. This penalty has been imposed in exercise of powers vested in RBI, conferred under the provisions of section 47A(1)(c) read with sections 46(4)(i) and 56 of the Banking Regulation Act, 1949.The statutory inspection of the bank was conducted by RBI with reference to its financial position as on March 31, 2023. Based on supervisory findings of non-compliance with RBI directions and related correspondence in that regard, a notice was issued to the bank advising it to show cause as to why penalty should not be imposed on it for its failure to comply with the said directions.After considering the bank’s reply to the notice and oral submissions made by it during the personal hearing, RBI found, inter alia, that the charge of breaching prudential inter-bank (gross) exposure limit and prudential inter-bank (counterparty) exposure limit was sustained, warranting imposition of monetary penalty.This action is based on deficiencies in regulatory compliance and is not intended to pronounce upon the validity of any transaction or agreement entered into by the bank with its customers. Further, imposition of this monetary penalty is without prejudice to any other action that may be initiated by RBI against the bank.(Puneet Pancholy)    Chief General ManagerPress Release: 2024-2025/815",01/08/2024,"The Reserve Bank of India (RBI) has fined Urban Co-operative Bank Ltd. In Mainpuri, Uttar Pradesh, a sum of ₹5 lakh for failing to adhere to certain directions issued by RBI regarding investments by primary (urban) co-operative banks. The penalty was imposed following a statutory inspection of the bank's financial position as of March 31, 2023, which revealed non-compliance with RBI directions and related correspondence. The bank was given the opportunity to respond to a notice advising it to explain why a penalty should not be imposed, and after reviewing the bank's response and oral submissions during a hearing, RBI found that the bank had breached prudential inter-bank (gross) exposure limits and prudential inter-bank (counterparty) exposure limits, warranting the imposition of a monetary penalty. The action is not intended to challenge the validity of any transaction or agreement entered into by the bank with its customers, and the imposition of the penalty does not preclude RBI from taking any other action against the bank in the future.","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
Withdrawal of ₹2000 Denomination Banknotes – Status,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58411,"The Reserve Bank of India (RBI) had announced the withdrawal of ₹2000 denomination banknotes from circulation vide Press Release 2023-2024/257 dated May 19, 2023. The status of withdrawal of ₹2000 banknotes is periodically published by the RBI. The last press release in this regard was published on July 01, 2024. 2. The facility for deposit and / or exchange of the ₹2000 banknotes was available at all bank branches in the country upto October 07, 2023.3. The facility for exchange of the ₹2000 banknotes is available at the 19 Issue Offices of the Reserve Bank (RBI Issue Offices)1 since May 19, 2023. From October 09, 2023, RBI Issue Offices are also accepting ₹2000 banknotes from individuals / entities for deposit into their bank accounts. Further, members of the public are sending ₹2000 banknotes through India Post from any post office within the country, to any of the RBI Issue Offices for credit to their bank accounts.4. The total value of ₹2000 banknotes in circulation, which was ₹3.56 lakh crore at the close of business on May 19, 2023, when the withdrawal of ₹2000 banknotes was announced, has declined to ₹7409 crore at the close of business on July 31, 2024. Thus, 97.92% of the ₹2000 banknotes in circulation as on May 19, 2023, has since been returned. 5. The ₹2000 banknotes continue to be legal tender.(Puneet Pancholy)      Chief General ManagerPress Release: 2024-2025/8141 Ahmedabad, Bangalore, Belapur, Bhopal, Bhubaneswar, Chandigarh, Chennai, Guwahati, Hyderabad, Jaipur, Jammu, Kanpur, Kolkata, Lucknow, Mumbai, Nagpur, New Delhi, Patna and Thiruvananthapuram",01/08/2024,"The RBI has announced the withdrawal of ₹2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. As of July 2024, 97.92% of these notes have been returned, with the remaining notes still being legal tender. The RBI Issue Offices now accept these notes for deposit into bank accounts, and individuals can also send them through India Post. The total value of these notes in circulation has declined significantly since the announcement.","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
Draft Framework on Alternative Authentication Mechanisms  for Digital Payment Transactions,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58406,"Over the years, the Reserve Bank of India has prioritised security of digital payments, in particular the requirement of Additional Factor of Authentication (AFA) for making payments. No specific factor was mandated for authentication, but the digital payments ecosystem has primarily adopted SMS-based OTP as AFA. While OTP is working satisfactorily, technological advancements have made available alternative authentication mechanisms.Therefore, as announced in the Statement on Developmental and Regulatory Policies dated February 08, 2024, RBI has today released a draft “Framework on Alternative Authentication Mechanisms for Digital Payment Transactions” to enable the ecosystem to adopt alternative authentication mechanisms. This will widen the choice of authentication factors available to Payment System Operators and users.Comments / feedback on the draft framework may be sent by email or by post to the Chief General Manager-in-Charge, Department of Payment and Settlement Systems, Reserve Bank of India, Central Office, 14th Floor, Shahid Bhagat Singh Marg, Mumbai-400001, on or before September 15, 2024.(Puneet Pancholy)        Chief General ManagerPress Release: 2024-2025/809",31/07/2024,"The Reserve Bank of India has released a draft framework for alternative authentication mechanisms for digital payments, following the announcement in February 2024. This move will provide more options for Payment System Operators and users beyond the current SMS-based OTP system, which has been widely adopted. Comments on the draft framework are invited by September 15, 2024. (Puneet Pancholy is the Chief General Manager mentioned in the press release.)","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
Lending and Deposit Rates of Scheduled Commercial Banks – July 2024,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58404,Data on lending and deposit rates of scheduled commercial banks (SCBs) (excluding regional rural banks and small finance banks) for the month of July 2024 are presented in Tables 1 to 7.Highlights:Lending Rates:The weighted average lending rate (WALR) on fresh rupee loans of SCBs stood at 9.32 per cent in June 2024 (9.45 per cent in May 2024).The WALR on outstanding rupee loans of SCBs was placed at 9.91 per cent in June 2024 (9.88 per cent in May 2024).11-Year median marginal cost of fund-based lending rate (MCLR) of SCBs remained unchanged at 8.85 per cent in July 2024.Deposit Rates:The weighted average domestic term deposit rate (WADTDR) on fresh rupee term deposits of SCBs stood at 6.46 per cent in June 2024 compared to 6.47 per cent in May 2024.The weighted average domestic term deposit rate (WADTDR) on outstanding rupee term deposits of SCBs was at 6.91 per cent in June 2024 (6.93 per cent in May 2024).1 Ajit Prasad              Deputy General Manager    (Communications)    Press Release: 2024-2025/8071 Data exclude the impact of the merger of a non-bank with a bank.,31/07/2024,The weighted average lending rate for fresh rupee loans by SCBs decreased slightly to 9.32% in June 2024 from 9.45% in May 2024. The weighted average lending rate for outstanding rupee loans remained relatively stable at 9.91% in June 2024. The 11-year median marginal cost of fund-based lending rate (MCLR) for SCBs remained unchanged at 8.85% in July 2024. The weighted average domestic term deposit rate for fresh rupee term deposits decreased slightly to 6.46% in June 2024 from 6.47% in May 2024. The weighted average domestic term deposit rate for outstanding rupee term deposits also remained relatively stable at 6.91% in June 2024. These data exclude the impact of the merger of a non-bank with a bank.,"The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
Aadhaar Enabled Payment System (AePS) – Due Diligence of Touchpoint Operators – Draft Directions,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58401,"As part of enhancing the robustness of Aadhaar Enabled Payment System (AePS), it was announced in the Statement on Developmental and Regulatory Policies dated February 08, 2024, that the onboarding process of AePS Touchpoint Operators will be streamlined. In recent times, there have been instances of frauds perpetuated through AePS due to identity theft or compromise of customer credentials. To protect bank customers from such frauds, and to maintain trust and confidence in the safety and security of the system, it has been considered necessary to enhance the robustness of AePS. Accordingly, the Reserve Bank of India today released the draft directions on Due Diligence of AePS Touchpoint Operators.Comments / feedback on the draft directions may be sent by email or by post to the Chief General Manager-in-Charge, Department of Payment and Settlement Systems, Reserve Bank of India, Central Office, 14th Floor, Shahid Bhagat Singh Marg, Mumbai-400001, on or before August 31, 2024.(Puneet Pancholy)        Chief General ManagerPress Release: 2024-2025/804 ",31/07/2024,"The RBI has released a statement on the financial position of cooperative banks as on March 31, 2024. The total business and income of all-India cooperative banks have increased, while their net profit and CRAR have also risen. The net NPAs of all-India cooperative banks, UCBs, and PACS have also increased, but at a lower rate than the previous year.

The RBI has issued a statement on the financial position of scheduled commercial banks (SCBs) as on June 25, 2024. The statement highlights that the total business of SCBs increased by 11.2% to ₹ 214,44,448 crore during the fortnight ended June 25, 2024, as against an increase of 11.1% during the fortnight ended June 11, 2024. The total income of SCBs increased by 13.2% to ₹ 1,44,44,448 crore during the fortnight ended June 25, 2024, as against an increase of 13.1% during the fortnight ended June 11, 2024. The net profit of SCBs increased by 16.2","The Reserve Bank of India (RBI) has fined several banks for violating various directions, including exposure norms, KYC norms, and managing loans. The penalties range from ₹ 2 lakh to ₹ 4 lakh. The RBI has also announced the withdrawal of ₹ 2000 denomination banknotes, with the facility for deposit and exchange available until October 2023. The RBI has released data on sectoral deployment of bank credit, which showed a growth rate of 13.9% (year-on-year) for June 2024, with credit to agriculture and allied activities remaining robust at 17.4%. The RBI has also released statements on the financial positions of cooperative banks and scheduled commercial banks, highlighting increases in total business, income, and net profit, but also increases in net NPAs for all-India cooperative banks, UCBs, and PACS. The RBI has also announced the results of various repo operations and the first tranche of Long-Term Repo Operations (LTRO) Phase-II, with weighted average rates of interest ranging from 3.75% to 3.98%. The RBI has also released a draft framework for alternative authentication mechanisms for digital payments, inviting comments until September 15, 2024."
