Summary,Link
"Export-Import Bank of India�s GOI-supported Line of Credit of USD 2.50 mn to the Government of Co-operative Republic of Guyana, for installation of Solar Photo Voltaic Power Plant at Cheddi Jagan International Airport",https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12698&Mode=0
Release of foreign exchange for Miscellaneous Remittances,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12696&Mode=0
Online submission of Form A2: Removal of limits on amount of remittance,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12697&Mode=0
"Exclusion of “Nagar Urban Co-operative Bank Limited” from the Second Schedule of the Reserve Bank of India Act, 1934",https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12695&Mode=0
Priority Sector Lending – Amendments to the Master Directions,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12694&Mode=0
International Trade Settlement in Indian Rupees (INR) – Opening of additional Current Account for settlement of trade transactions,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12693&Mode=0
"Export-Import Bank of India (Exim Bank)’s Government of India-supported Line of Credit of USD 23.37 mn to the Government of the Co-operative Republic of Guyana (GO-GUY), for procurement of two Hindustan 228-201 aircraft from Hindustan Aeronautics Ltd.",https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12692&Mode=0
"Foreign Exchange Management (Overseas Investment) Directions, 2022 - Investments in Overseas Funds",https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12691&Mode=0
"Amendment to Master Direction - Reserve Bank of India (Interest Rate on Deposits) Directions, 2016",https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12690&Mode=0
Instructions on Money Changing Activities,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12689&Mode=0
"Exclusion of ""Fincare Small Finance Bank Limited"" from the Second Schedule to the Reserve Bank of India Act, 1934 and cessation as a banking company",https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12688&Mode=0
Internal Review – Interim Recommendations – Withdrawal of Circulars,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=12687&Mode=0
